"Wochentag";"Datum";"Abfallart"
"Samstag";"03.05.2025";"Glas"
"Samstag";"31.05.2025";"Glas"
"Freitag";"27.06.2025";"Glas"
"Freitag";"25.07.2025";"Glas"
"Freitag";"22.08.2025";"Glas"
"Freitag";"19.09.2025";"Glas"
"Freitag";"17.10.2025";"Glas"
"Freitag";"14.11.2025";"Glas"
"Freitag";"12.12.2025";"Glas"
"Mittwoch";"08.01.2025";"Schadstoffmobil"
"Mittwoch";"05.03.2025";"Schadstoffmobil"
"Mittwoch";"09.04.2025";"Schadstoffmobil"
"Mittwoch";"21.05.2025";"Schadstoffmobil"
"Mittwoch";"02.07.2025";"Schadstoffmobil"
"Mittwoch";"03.09.2025";"Schadstoffmobil"
"Mittwoch";"01.10.2025";"Schadstoffmobil"
"Mittwoch";"19.11.2025";"Schadstoffmobil"
"Samstag";"22.03.2025";"Schadstoffmobil"
"Samstag";"10.05.2025";"Schadstoffmobil"
"Samstag";"25.10.2025";"Schadstoffmobil"
"Samstag";"02.08.2025";"Schadstoffmobil"
